nivel_territorial_codigo;nivel_territorial;unidade_de_medida_codigo;unidade_de_medida;valor;municipio_codigo;municipio;ano_codigo;ano;variavel_codigo;variavel
6;Município;45;Pessoas;661155;3534401;Osasco (SP);2001;2001;9324;População residente estimada
6;Município;45;Pessoas;670345;3534401;Osasco (SP);2002;2002;9324;População residente estimada
6;Município;45;Pessoas;678583;3534401;Osasco (SP);2003;2003;9324;População residente estimada
6;Município;45;Pessoas;695879;3534401;Osasco (SP);2004;2004;9324;População residente estimada
6;Município;45;Pessoas;705450;3534401;Osasco (SP);2005;2005;9324;População residente estimada
6;Município;45;Pessoas;714950;3534401;Osasco (SP);2006;2006;9324;População residente estimada
6;Município;45;Pessoas;713066;3534401;Osasco (SP);2008;2008;9324;População residente estimada
6;Município;45;Pessoas;718646;3534401;Osasco (SP);2009;2009;9324;População residente estimada
6;Município;45;Pessoas;667826;3534401;Osasco (SP);2011;2011;9324;População residente estimada
6;Município;45;Pessoas;668877;3534401;Osasco (SP);2012;2012;9324;População residente estimada
6;Município;45;Pessoas;691652;3534401;Osasco (SP);2013;2013;9324;População residente estimada
6;Município;45;Pessoas;693271;3534401;Osasco (SP);2014;2014;9324;População residente estimada
6;Município;45;Pessoas;694844;3534401;Osasco (SP);2015;2015;9324;População residente estimada
6;Município;45;Pessoas;696382;3534401;Osasco (SP);2016;2016;9324;População residente estimada
6;Município;45;Pessoas;697886;3534401;Osasco (SP);2017;2017;9324;População residente estimada
6;Município;45;Pessoas;696850;3534401;Osasco (SP);2018;2018;9324;População residente estimada
6;Município;45;Pessoas;698418;3534401;Osasco (SP);2019;2019;9324;População residente estimada
6;Município;45;Pessoas;699944;3534401;Osasco (SP);2020;2020;9324;População residente estimada
6;Município;45;Pessoas;701428;3534401;Osasco (SP);2021;2021;9324;População residente estimada
6;Município;45;Pessoas;756952;3534401;Osasco (SP);2024;2024;9324;População residente estimada
6;Município;45;Pessoas;701012;3534401;Osasco (SP);2007;2007;93;População residente
6;Município;45;Pessoas;666740;3534401;Osasco (SP);2010;2010;93;População residente
6;Município;45;Pessoas;508848;3552205;Sorocaba (SP);2001;2001;9324;População residente estimada
